size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 1024, 5, 282209.843750, 0.001511, 0.004000
5120, 1024, 5, 315343.437500, 0.001352, 0.005000
5120, 1024, 5, 324843.656250, 0.001313, 0.003000
5120, 1024, 5, 264284.937500, 0.001614, 0.003000
5120, 1024, 5, 324851.562500, 0.001313, 0.004000
5120, 1024, 5, 322329.562500, 0.001323, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 286043.937500, 0.001491, 0.003000
5120, 1024, 5, 285492.500000, 0.001494, 0.004000
5120, 1024, 5, 323880.531250, 0.001317, 0.004000
5120, 1024, 5, 322782.343750, 0.001321, 0.004000
5120, 1024, 5, 323416.812500, 0.001319, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.004000
5120, 1024, 5, 323786.093750, 0.001317, 0.004000
5120, 1024, 5, 323982.875000, 0.001316, 0.004000
5120, 1024, 5, 325232.062500, 0.001311, 0.004000
5120, 1024, 5, 323142.343750, 0.001320, 0.004000
5120, 1024, 5, 323856.906250, 0.001317, 0.004000
5120, 1024, 5, 264883.718750, 0.001610, 0.003000
5120, 1024, 5, 321071.593750, 0.001328, 0.004000
5120, 1024, 5, 324353.500000, 0.001315, 0.005000
5120, 1024, 5, 324535.156250, 0.001314, 0.004000
5120, 1024, 5, 322876.187500, 0.001321, 0.004000
5120, 1024, 5, 323825.437500, 0.001317, 0.003000
5120, 1024, 5, 323299.125000, 0.001319, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 297492.375000, 0.001434, 0.005000
5120, 1024, 5, 297778.187500, 0.001432, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.003000
5120, 1024, 5, 323935.625000, 0.001317, 0.005000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 324314.000000, 0.001315, 0.003000
5120, 1024, 5, 322134.781250, 0.001324, 0.003000
5120, 1024, 5, 324361.375000, 0.001315, 0.003000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 323770.375000, 0.001317, 0.004000
5120, 1024, 5, 278762.562500, 0.001530, 0.003000
5120, 1024, 5, 323385.437500, 0.001319, 0.004000
5120, 1024, 5, 322790.156250, 0.001321, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 323189.375000, 0.001320, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.004000
5120, 1024, 5, 323126.687500, 0.001320, 0.003000
5120, 1024, 5, 324748.656250, 0.001313, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.005000
5120, 1024, 5, 324069.531250, 0.001316, 0.004000
5120, 1024, 5, 298960.500000, 0.001427, 0.004000
5120, 1024, 5, 324243.000000, 0.001315, 0.004000
5120, 1024, 5, 323432.500000, 0.001319, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.003000
5120, 1024, 5, 305785.593750, 0.001395, 0.003000
5120, 1024, 5, 323064.031250, 0.001320, 0.004000
5120, 1024, 5, 323534.562500, 0.001318, 0.004000
5120, 1024, 5, 292144.937500, 0.001460, 0.004000
5120, 1024, 5, 323762.531250, 0.001317, 0.005000
5120, 1024, 5, 323440.375000, 0.001319, 0.004000
5120, 1024, 5, 323103.187500, 0.001320, 0.004000
5120, 1024, 5, 325319.406250, 0.001311, 0.004000
5120, 1024, 5, 323479.593750, 0.001318, 0.004000
5120, 1024, 5, 284870.031250, 0.001497, 0.003000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 323471.781250, 0.001318, 0.004000
5120, 1024, 5, 323794.000000, 0.001317, 0.005000
5120, 1024, 5, 324369.250000, 0.001315, 0.004000
5120, 1024, 5, 323252.093750, 0.001319, 0.004000
5120, 1024, 5, 281138.281250, 0.001517, 0.004000
5120, 1024, 5, 323550.281250, 0.001318, 0.004000
5120, 1024, 5, 323927.750000, 0.001317, 0.004000
5120, 1024, 5, 320916.937500, 0.001329, 0.004000
5120, 1024, 5, 326059.593750, 0.001308, 0.003000
5120, 1024, 5, 323864.812500, 0.001317, 0.004000
5120, 1024, 5, 322197.062500, 0.001324, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 323283.437500, 0.001319, 0.004000
5120, 1024, 5, 324827.812500, 0.001313, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 321940.218750, 0.001325, 0.005000
5120, 1024, 5, 323683.906250, 0.001318, 0.003000
5120, 1024, 5, 324796.156250, 0.001313, 0.003000
5120, 1024, 5, 322852.718750, 0.001321, 0.004000
5120, 1024, 5, 323856.906250, 0.001317, 0.004000
5120, 1024, 5, 323393.250000, 0.001319, 0.004000
5120, 1024, 5, 315926.500000, 0.001350, 0.003000
5120, 1024, 5, 319401.812500, 0.001335, 0.003000
5120, 1024, 5, 302949.625000, 0.001408, 0.003000
5120, 1024, 5, 323770.375000, 0.001317, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.003000
5120, 1024, 5, 292606.750000, 0.001458, 0.004000
5120, 1024, 5, 323668.187500, 0.001318, 0.003000
5120, 1024, 5, 322946.625000, 0.001321, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.005000
5120, 1024, 5, 324266.656250, 0.001315, 0.004000
5120, 1024, 5, 297665.093750, 0.001433, 0.003000
5120, 1024, 5, 324835.718750, 0.001313, 0.003000
5120, 1024, 5, 321358.031250, 0.001327, 0.004000
5120, 1024, 5, 324661.625000, 0.001314, 0.004000
5120, 1024, 5, 324298.250000, 0.001315, 0.005000
5120, 1024, 5, 323291.281250, 0.001319, 0.004000
5120, 1024, 5, 323299.125000, 0.001319, 0.004000
5120, 1024, 5, 308803.937500, 0.001381, 0.003000
5120, 1024, 5, 323534.562500, 0.001318, 0.004000
5120, 1024, 5, 307627.843750, 0.001386, 0.003000
5120, 1024, 5, 324022.281250, 0.001316, 0.004000
5120, 1024, 5, 322852.718750, 0.001321, 0.004000
5120, 1024, 5, 323778.250000, 0.001317, 0.004000
5120, 1024, 5, 323809.750000, 0.001317, 0.004000
5120, 1024, 5, 323872.656250, 0.001317, 0.004000
5120, 1024, 5, 322267.187500, 0.001323, 0.003000
5120, 1024, 5, 323118.843750, 0.001320, 0.004000
5120, 1024, 5, 324653.718750, 0.001314, 0.004000
5120, 1024, 5, 323770.375000, 0.001317, 0.004000
5120, 1024, 5, 323573.843750, 0.001318, 0.004000
5120, 1024, 5, 302825.750000, 0.001408, 0.004000
5120, 1024, 5, 323173.687500, 0.001320, 0.004000
5120, 1024, 5, 323935.625000, 0.001317, 0.004000
5120, 1024, 5, 324203.562500, 0.001315, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.004000
5120, 1024, 5, 263939.468750, 0.001616, 0.004000
5120, 1024, 5, 323322.656250, 0.001319, 0.004000
5120, 1024, 5, 323825.437500, 0.001317, 0.005000
5120, 1024, 5, 324867.406250, 0.001313, 0.004000
5120, 1024, 5, 324503.562500, 0.001314, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.005000
5120, 1024, 5, 323354.031250, 0.001319, 0.004000
5120, 1024, 5, 323503.187500, 0.001318, 0.004000
5120, 1024, 5, 323064.031250, 0.001320, 0.004000
5120, 1024, 5, 291652.656250, 0.001462, 0.004000
5120, 1024, 5, 324867.406250, 0.001313, 0.004000
5120, 1024, 5, 324440.312500, 0.001314, 0.004000
5120, 1024, 5, 282000.843750, 0.001512, 0.004000
5120, 1024, 5, 323896.250000, 0.001317, 0.004000
5120, 1024, 5, 324614.187500, 0.001314, 0.004000
5120, 1024, 5, 324859.468750, 0.001313, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.004000
5120, 1024, 5, 324377.156250, 0.001315, 0.004000
5120, 1024, 5, 324867.406250, 0.001313, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.003000
5120, 1024, 5, 323967.125000, 0.001316, 0.004000
5120, 1024, 5, 322923.125000, 0.001321, 0.003000
5120, 1024, 5, 299895.562500, 0.001422, 0.004000
5120, 1024, 5, 323856.906250, 0.001317, 0.004000
5120, 1024, 5, 323150.187500, 0.001320, 0.004000
5120, 1024, 5, 323691.750000, 0.001318, 0.004000
5120, 1024, 5, 323463.906250, 0.001318, 0.004000
5120, 1024, 5, 324637.906250, 0.001314, 0.004000
5120, 1024, 5, 324535.156250, 0.001314, 0.004000
5120, 1024, 5, 290527.312500, 0.001468, 0.004000
5120, 1024, 5, 323778.250000, 0.001317, 0.004000
5120, 1024, 5, 322993.562500, 0.001320, 0.004000
5120, 1024, 5, 324361.375000, 0.001315, 0.004000
5120, 1024, 5, 324511.437500, 0.001314, 0.004000
5120, 1024, 5, 324250.875000, 0.001315, 0.004000
5120, 1024, 5, 324385.062500, 0.001315, 0.003000
5120, 1024, 5, 323573.843750, 0.001318, 0.004000
5120, 1024, 5, 323856.906250, 0.001317, 0.004000
5120, 1024, 5, 323888.406250, 0.001317, 0.004000
5120, 1024, 5, 323699.593750, 0.001318, 0.004000
5120, 1024, 5, 322852.718750, 0.001321, 0.004000
5120, 1024, 5, 322946.625000, 0.001321, 0.003000
5120, 1024, 5, 273101.625000, 0.001562, 0.005000
5120, 1024, 5, 324022.281250, 0.001316, 0.003000
5120, 1024, 5, 322774.531250, 0.001321, 0.003000
5120, 1024, 5, 324851.562500, 0.001313, 0.003000
5120, 1024, 5, 323511.031250, 0.001318, 0.003000
5120, 1024, 5, 324495.625000, 0.001314, 0.003000
5120, 1024, 5, 323511.031250, 0.001318, 0.004000
5120, 1024, 5, 323849.062500, 0.001317, 0.004000
5120, 1024, 5, 322672.906250, 0.001322, 0.004000
5120, 1024, 5, 300057.656250, 0.001421, 0.004000
5120, 1024, 5, 323354.031250, 0.001319, 0.003000
5120, 1024, 5, 324867.406250, 0.001313, 0.004000
5120, 1024, 5, 324740.750000, 0.001313, 0.004000
5120, 1024, 5, 323071.875000, 0.001320, 0.003000
5120, 1024, 5, 325017.906250, 0.001312, 0.004000
5120, 1024, 5, 324764.468750, 0.001313, 0.004000
5120, 1024, 5, 322821.437500, 0.001321, 0.005000
5120, 1024, 5, 318943.187500, 0.001337, 0.003000
5120, 1024, 5, 324724.906250, 0.001313, 0.004000
5120, 1024, 5, 324645.843750, 0.001314, 0.003000
5120, 1024, 5, 324361.375000, 0.001315, 0.003000
5120, 1024, 5, 280446.125000, 0.001521, 0.003000
5120, 1024, 5, 323354.031250, 0.001319, 0.004000
5120, 1024, 5, 323401.125000, 0.001319, 0.005000
5120, 1024, 5, 323220.718750, 0.001319, 0.004000
5120, 1024, 5, 323487.468750, 0.001318, 0.005000
5120, 1024, 5, 324867.406250, 0.001313, 0.004000
5120, 1024, 5, 323408.968750, 0.001319, 0.004000
5120, 1024, 5, 324574.687500, 0.001314, 0.004000
5120, 1024, 5, 323518.875000, 0.001318, 0.004000
5120, 1024, 5, 322134.781250, 0.001324, 0.003000
5120, 1024, 5, 324835.718750, 0.001313, 0.003000
5120, 1024, 5, 324203.562500, 0.001315, 0.004000
5120, 1024, 5, 322962.250000, 0.001321, 0.004000
5120, 1024, 5, 323856.906250, 0.001317, 0.005000
5120, 1024, 5, 324211.468750, 0.001315, 0.004000
5120, 1024, 5, 322985.718750, 0.001320, 0.003000
5120, 1024, 5, 322891.843750, 0.001321, 0.005000
5120, 1024, 5, 323424.656250, 0.001319, 0.004000
